상품명,URL,price_original,용량_raw,용량_value,용량_unit,전성분,brand,product_id
퍼펙트 9 인텐시브 스킨케어 세트  퍼펙트 9 인텐시브 스킨 200ml+ 퍼펙트 9 인텐시브 로션 160ml &  세럼 5ml + 크림 10ml + 아이크림 5ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57560,74000.0,[본품] 퍼펙트 9 인텐시브 스킨 200ml + 퍼펙트 9 인텐시브 로션 160ml & [증정] 세럼 5ml + 크림 10ml + 아이크림 5ml,9.0,ml,"[스킨]정제수, 부틸렌글라이콜, 변성알코올, 다이메티콘, 베타인, 나이아신아마이드, 사이클로펜타실록세인, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 사이클로헥사실록세인, 글리세릴폴리메타크릴레이트, 피이지-60하이드로제네이티드캐스터오일, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글리세린, 향료, 프로판다이올, 카보머, 트로메타민, 다이메티콘올, 에틸헥실글리세린, 아데노신, 리모넨, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 폴리솔베이트60, 덱스트린, 카카오추출물, 불가리스쑥추출물, 약모밀추출물, 라즈베리추출물, 꿀풀잎추출물, 인동덩굴꽃추출물, 폴리글루타믹애씨드, 초피나무열매추출물, 서양민들레뿌리줄기/뿌리추출물, 영지버섯추출물, 베타-글루칸, 리날룰, 페녹시에탄올, 시트로넬올, 토코페롤, 꽃송이버섯추출물 [로션]정제수, 부틸렌글라이콜, 글리세린, 사이클로펜타실록세인, 변성알코올, 다이메티콘, 스쿠알란, 하이드로제네이티드식물성오일, 코코글리세라이즈, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 메도우폼씨오일, 펜타에리스리틸테트라에틸헥사노에이트, 나이아신아마이드, 사이클로헥사실록세인, 시어버터, 글리세릴스테아레이트, 피이지-100스테아레이트, 향료, 폴리아크릴레이트-13, 다이메티콘올, 잔탄검, 폴리아이소부텐, 글리세릴카프릴레이트, 프로판다이올, 세테아릴알코올, 에틸헥실글리세린, 다이소듐이디티에이, 아데노신, 리모넨, 폴리솔베이트20, 솔비탄아이소스테아레이트, 스테아릭애씨드, 덱스트린, 카카오추출물, 하이드로제네이티드레시틴, 불가리스쑥추출물, 약모밀추출물, 라즈베리추출물, 꿀풀잎추출물, 인동덩굴꽃추출물, 초피나무열매추출물, 서양민들레뿌리줄기/뿌리추출물, 영지버섯추출물, 리날룰, 베타-글루칸, 시트로넬올, 시트랄, 제라니올, 토코페롤, 꽃송이버섯추출물",이니스프리,이니스프리_퍼펙트 9 인텐시브 스킨케어 세트  퍼펙트 9 인텐시브 스킨 200ml+ 퍼펙트 9 인텐시브 로션 160ml &  세럼 5ml + 크림 10ml + 아이크림 5ml
유채꿀 립밤 3.5g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60040,10000.0,3.5g,3.5,g,"페트롤라툼, 폴리글리세릴-2트라이아이소스테아레이트, 다이아이소스테아릴말레이트, 미네랄오일, 호호바에스터, 하이드로제네이티드폴리아이소부텐, 폴리에틸렌, 메도우폼델타-락톤, 피토스테릴하이드록시스테아레이트, 하이드로제네이티드코코-글리세라이즈, 칸데릴라왁스, 마이크로크리스탈린왁스, 망고씨버터, 세레신, 스 위트아몬드오일, 트라이하이드록시스테아린, 페녹시에탄올, 카프릴릴글라이콜, 향료,글리세릴카프릴레이트, 토코페릴아세테이트, 황색4호, 황색5호, 토코페롤, 티비에이치큐, 서양유채씨오일(1ppm),정제수, 부틸렌글라이콜, 꿀추출물(0.03ppm), 에틸헥실글리세린",이니스프리,이니스프리_유채꿀 립밤 3.5g
포어 블러 팩트 12.5g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59923,18000.0,12.5g,12.5,g,"탤크, 마이카, 카프릴릭/카프릭트라이글리세라이드, 폴리메틸메타크릴레이트, 실리카, 에이치디아이/피피지/폴리카프로락톤크로스폴리머, 페닐트라이메티콘, 다이메티콘, 트라이에톡시카프릴릴실레인, 옥틸도데실스테아로일스테아레이트, 1,2-헥산다이올, 글리세릴카프릴레이트, 적색산화철, 메티콘, 하이드로제네이티드레시틴, 황색산화철, 향료, 칼라민, 약모밀가루, 흑색산화철, 정제수, 부틸렌글라이콜, 콘민트잎추출물",이니스프리,이니스프리_포어 블러 팩트 12.5g
아일 넘버 바디앤핸드워시 웜앤퍼지스 300ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59841,22000.0,300ml,300.0,ml,"정제수, 소듐C14-16올레핀설포네이트, 코카미도프로필하이드록시설테인, 향료, 부틸렌글라이콜, 1,2-헥산다이올, 시트릭애씨드, 카프릴릴글라이콜, 에틸헥실글리세린, 소듐메타포스페이트, 벤질벤조에이트, 프로판다이올, 폴리쿼터늄-10, 리날룰, 트라이에틸시트레이트, 다이소듐이디티에이, 레몬껍질오일, 녹차추출물, 토코페롤, 마테잎추출물, 소두구씨오일, 스피어민트잎오일, 시트로넬라오일, 스쿠알란, 갈바눔수지오일, 돌콩오일, 돌콩스테롤, 세테아릴알코올, 헥실라우레이트, 아보카도오일, 아스코빌팔미테이트, 하이드로제네이티드식물성글리세라이즈시트레이트",이니스프리,이니스프리_아일 넘버 바디앤핸드워시 웜앤퍼지스 300ml
아일넘버 핸드크림 씨즈더모먼트 50ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59210,15000.0,50ml,50.0,ml,"정제수, 부틸렌글라이콜, 글리세린, 세테아릴알코올, 시어버터, 세틸에틸헥사노에이트, 글리세릴스테아레이트시트레이트, 다이카프릴릴카보네이트, 향료, 스쿠알란, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 메틸트라이메티콘, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 벤질벤조에이트, 글리세릴카프릴레이트, 프로판다이올, 리모넨, 제라니올, 헥실신남알, 에틸헥실글리세린, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 리날룰, 시트랄, 시트로넬올, 호호바씨오일, 토코페롤, 트라이에틸시트레이트, 녹차추출물, 레몬껍질오일, 마테잎추출물, 소두구씨오일, 스피어민트잎오일, 갈바눔수지오일, 시트로넬라오일",이니스프리,이니스프리_아일넘버 핸드크림 씨즈더모먼트 50ml
마이퍼퓸드바디 그린텐저린바디클렌저 330ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58916,15000.0,330ml,330.0,ml,"정제수, 코카미도프로필베타인, 솔비톨, 소듐메틸코코일타우레이트, 소듐클로라이드, 향료(그린탠저린향 2.5%), 코카마이드엠이에이, 아크릴레이트/베헤네스-25메타크릴레이트코폴리머, 소듐벤조에이트, 카프릴릴글라이콜, 리모넨, 포타슘하이드록사이드, 리날룰, 다이소듐이디티에이, 헥실신남알, 에틸헥실글리세린, 테트라소듐이디티에이, 토코페롤, 시트릭애씨드",이니스프리,이니스프리_마이퍼퓸드바디 그린텐저린바디클렌저 330ml
포레스트 프레시 스킨 180ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57942,22000.0,180ml,180.0,ml,"정제수, 변성알코올, 프로판다이올, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 옥틸도데세스-16, 베타인, 향료, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 리날룰, 흑효모발효물*, 시트랄, 토코페롤",이니스프리,이니스프리_포레스트 프레시 스킨 180ml
포레스트 프레시 로션 140ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57941,25000.0,140ml,140.0,ml,"정제수, 프로판다이올, 글리세린, 다이메티콘, 실리카, 1,2-헥산다이올, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리솔베이트20, 카보머, 폴리아크릴레이트-13, 트로메타민, 글리세릴카프릴레이트, 향료, 폴리아이소부텐, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 솔비탄아이소스테아레이트, 리날룰, 흑효모발효물, 토코페롤",이니스프리,이니스프리_포레스트 프레시 로션 140ml
블랙티 유스 인핸싱 스킨 케어 세트  블랙티 유스 인핸싱 스킨 170ml + 블랙티 유스 인핸싱 로션 170ml&  스킨 15ml + 로션 15ml + 앰플 12ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57574,54000.0,[본품] 블랙티 유스 인핸싱 스킨 170ml + 블랙티 유스 인핸싱 로션 170ml& [증정] 스킨 15ml + 로션 15ml + 앰플 12ml,170.0,ml,"""[스킨] 정제수, 부틸렌글라이콜, 프로판다이올, 나이아신아마이드, 1,2-헥산다이올, 다이메티콘, 피피지-13-데실테트라데세스-24, 에탄올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴카프릴레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드로제네이티드레시틴, 에틸헥실글리세린, 아데노신, 트로메타민, 향료, 다이소듐이디티에이, 판테놀, 하이알루로닉애씨드, 홍차추출물(100 ppm), 리모넨, 덱스트린, 카카오추출물, 소듐메틸스테아로일타우레이트, 리날룰, 토코페롤 [로션] 정제수, 부틸렌글라이콜, 다이메티콘, 하이드로제네이티드폴리(C6-14올레핀), 글리세린, 세틸에틸헥사노에이트, 나이아신아마이드, 1,2-헥산다이올, 폴리솔베이트60, 글리세릴스테아레이트, 세테아릴알코올, 글리세릴스테아레이트시트레이트, 하이드로제네이티드식물성오일, 스테아릭애씨드, 솔비탄스테아레이트, 피이지-100스테아레이트, 카보머, 트로메타민, 팔미틱애씨드, 글리세릴카프릴레이트, 펜틸렌글라이콜, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 향료, 덱스트린, 카카오추출물, 홍차추출물(100 ppm), 리모넨, 잔탄검, 서양톱풀추출물, 리날룰, 토코페롤""",이니스프리,이니스프리_블랙티 유스 인핸싱 스킨 케어 세트  블랙티 유스 인핸싱 스킨 170ml + 블랙티 유스 인핸싱 로션 170ml&  스킨 15ml + 로션 15ml + 앰플 12ml
퍼펙트 9 인텐시브 로션 160ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57570,38000.0,160ml,160.0,ml,"정제수, 부틸렌글라이콜, 글리세린, 사이클로펜타실록세인, 변성알코올, 다이메티콘, 스쿠알란, 하이드로제네이티드식물성오일, 코코글리세라이즈, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 메도우폼씨오일, 펜타에리스리틸테트라에틸헥사노에이트, 나이아신아마이드, 사이클로헥사실록세인, 시어버터, 글리세릴스테아레이트, 피이지-100스테아레이트, 향료, 폴리아크릴레이트-13, 다이메티콘올, 잔탄검, 폴리아이소부텐, 글리세릴카프릴레이트, 프로판다이올, 세테아릴알코올, 에틸헥실글리세린, 다이소듐이디티에이, 아데노신, 리모넨, 폴리솔베이트20, 솔비탄아이소스테아레이트, 스테아릭애씨드, 덱스트린, 카카오추출물, 하이드로제네이티드레시틴, 불가리스쑥추출물, 약모밀추출물, 라즈베리추출물, 꿀풀잎추출물, 인동덩굴꽃추출물, 초피나무열매추출물, 서양민들레뿌리줄기/뿌리추출물, 영지버섯추출물, 리날룰, 베타-글루칸, 시트로넬올, 시트랄, 제라니올, 토코페롤, 꽃송이버섯추출물",이니스프리,이니스프리_퍼펙트 9 인텐시브 로션 160ml
