상품명,brand,전성분
NEW  세라마이드 아토 로션 564ml,일리윤,"정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물"
울트라 리페어 로션 528ml,일리윤,"정제수, 글리세린, 부틸렌글라이콜, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 판테놀, 시어버터, C14-22알코올, 다이메티콘, 세테아릴알코올, 비스-다이글리세릴폴리아실아디페이트-2, 글리세릴스테아레이트, 향료, C12-20알킬글루코사이드, 1,2-헥산다이올, 스테아릭애씨드, 팔미틱애씨드, 카보머, 폴리아크릴레이트-13, 토코페릴아세테이트, 잔탄검, 글리세릴카프릴레이트, 인삼수, 폴리아이소부텐, 다이소듐이디티에이, 에틸헥실글리세린, 포타슘하이드록사이드, 호호바씨오일, 폴리솔베이트20, 솔비탄아이소스테아레이트, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 마데카소사이드, 미리스틱애씨드, 아라키딕애씨드, 7-데하이드로콜레스테롤, 토코페롤"
히알루론 모이스춰 수분크림 100ml,일리윤,"정제수, 부틸렌글라이콜, 다이카프릴릴카보네이트, 글리세린, 하이드로제네이티드폴리(C6-14올레핀), 메틸트라이메티콘, 1,2-헥산다이올, 세테아릴알코올, 피씨에이다이메티콘, 스테아릭애씨드, 글리세릴스테아레이트, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 향료, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 소듐하이알루로네이트, 글리세릴카프릴레이트, 하이드로제네이티드레시틴, 인삼수, 하이드록시프로필스타치포스페이트, 다이소듐이디티에이, 에틸헥실글리세린, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 녹차씨오일, 솔비탄아이소스테아레이트, 폴리솔베이트60, 리모넨, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 미리스틱애씨드, 아라키딕애씨드, 리날룰, 토코페롤, 돌콩오일"
세라마이드 아토 집중 크림 230ml,일리윤,"정제수, 부틸렌글라이콜, 글리세린, 에틸헥실스테아레이트, 다이메티콘, 다이카프릴릴카보네이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 7622ppm), 폴리아크릴레이트-13, 만니톨, 아라키딜글루코사이드, C12-20알킬글루코사이드, 하이드로제네이티드폴리아이소부텐, 글리세릴카프릴레이트, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 다이메티콘올, 인삼수, 카보머, 솔비탄아이소스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 황금추출물, 프로판다이올, 콜레스테롤, 실리카, 매실추출물, 아라키딕애씨드, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 토코페롤, 세라마이드엔피(4ppm), 올레익애씨드, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물"
세라마이드 아토 6.0 탑투토워시 500ml,일리윤,"정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤"
세라마이드 아토 로션 350ml,일리윤,"정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물"
세라마이드 아토 6.0 탑투토워시 500ml,일리윤,"정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤"
울트라 리페어 로션 350ml,일리윤,"정제수, 글리세린, 부틸렌글라이콜, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 판테놀, 시어버터, C14-22알코올, 다이메티콘, 세테아릴알코올, 비스-다이글리세릴폴리아실아디페이트-2, 글리세릴스테아레이트, 향료, C12-20알킬글루코사이드, 1,2-헥산다이올, 스테아릭애씨드, 팔미틱애씨드, 카보머, 폴리아크릴레이트-13, 토코페릴아세테이트, 잔탄검, 글리세릴카프릴레이트, 인삼수, 폴리아이소부텐, 다이소듐이디티에이, 에틸헥실글리세린, 포타슘하이드록사이드, 호호바씨오일, 폴리솔베이트20, 솔비탄아이소스테아레이트, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 마데카소사이드, 미리스틱애씨드, 아라키딕애씨드, 7-데하이드로콜레스테롤, 토코페롤"
세라마이드 아토 집중 크림 500ml,일리윤,"정제수, 부틸렌글라이콜, 글리세린, 에틸헥실스테아레이트, 다이메티콘, 다이카프릴릴카보네이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 7622ppm), 폴리아크릴레이트-13, 만니톨, 아라키딜글루코사이드, C12-20알킬글루코사이드, 하이드로제네이티드폴리아이소부텐, 글리세릴카프릴레이트, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 다이메티콘올, 인삼수, 카보머, 솔비탄아이소스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 황금추출물, 프로판다이올, 콜레스테롤, 실리카, 매실추출물, 아라키딕애씨드, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 토코페롤, 세라마이드엔피(4ppm), 올레익애씨드, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물"
프레쉬 모이스춰 바디워시 500ml,일리윤,"정제수, 소듐C14-16올레핀설포네이트, 아크릴레이트코폴리머, 라우릴하이드록시설테인, 솔비톨, 향료, 소듐살리실레이트, 소듐클로라이드, 말티톨, 포타슘하이드록사이드, 리모넨, 소듐벤조에이트, 리날룰, 에틸헥실글리세린, 다이소듐이디티에이, 옥수수전분, 시트로넬올, 마이크로크리스탈린셀룰로오스, 락토오스, 헥실신남알, 수크로오스, 부틸렌글라이콜, 아스코빅애씨드, 인삼수, 카프릴릭/카프릭트라이글리세라이드, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페릴아세테이트, 유자껍질추출물, 토코페롤, 로즈힙꽃오일, 오렌지오일, 라벤더오일"
레드이치 케어크림 330ml,일리윤,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 판테놀, 하이드록시프로필비스팔미타마이드엠이에이, 아라키딜글루코사이드, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 폴리아이소부텐, 글리세릴카프릴레이트, 인삼수, 올레아놀릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리솔베이트20, 솔비탄아이소스테아레이트, 들깨추출물, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 미리스틱애씨드, 아라키딕애씨드, 검정콩오일, 콜레스테롤, 달맞이꽃오일, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 카놀라오일, 로즈마리잎추출물"
저자극 이지워시 선크림 SPF50+/PA++++ 150ml,일리윤,"정제수, 호모살레이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실살리실레이트, 글리세린, 페닐트라이메티콘, C12-15알킬벤조에이트, 실리카, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 다이부틸아디페이트, 테레프탈릴리덴디캠퍼설포닉애씨드, 세테아릴알코올, 1,2-헥산다이올, 트로메타민, 포타슘세틸포스페이트, 글리세릴스테아레이트, 폴리아크릴레이트크로스폴리머-6, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 베헤닐알코올, 하이드로제네이티드레시틴, 글리세릴카프릴레이트, 황금추출물, 스테아릭애씨드, 인삼수, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 향료, 프로판다이올, T-부틸알코올, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 미리스틱애씨드, 라우릭애씨드, 병풀꽃/잎/줄기추출물, 토코페롤"
울트라 리페어 딥 모이스춰 워시 500ml,일리윤,"정제수, 글리세린, 라우릴글루코사이드, 다이프로필렌글라이콜, 코카미도프로필베타인, 소듐C14-16올레핀설포네이트, 판테놀, 다이소듐코코암포다이아세테이트, 소듐클로라이드, 소듐벤조에이트, 시트릭애씨드, 향료, 카프릴릴글라이콜, 폴리쿼터늄-10, 에틸헥실글리세린, 폴리쿼터늄-7, 부틸렌글라이콜, 인삼수, 다이소듐이디티에이, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페롤, 토코페릴아세테이트, 호호바씨오일, 7-데하이드로콜레스테롤"
세라마이드 아토 6.0 탑투토워시 1000ml,일리윤,"정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤"
세라마이드 아토 속보습 스킨 250ml,일리윤,"정제수, 글리세린, 다이메티콘, 1,2-헥산다이올, 프로판다이올, 베타인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 부틸렌글라이콜, 세테아릴알코올, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴카프릴레이트, 하이드로제네이티드레시틴, 글리세릴스테아레이트시트레이트, 인삼수, 에틸헥실글리세린, 카보머, 다이소듐이디티에이, 검정콩오일, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 알란 토인, 트로메타민, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 세라마이드엔피 (45 ppm), 잔탄검, 피토스핑고신, 토코페롤, 카놀라오일, 로즈마리잎추출물"
레드이치 케어크림 75ml,일리윤,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 판테놀, 하이드록시프로필비스팔미타마이드엠이에이, 아라키딜글루코사이드, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 폴리아이소부텐, 글리세릴카프릴레이트, 인삼수, 올레아놀릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리솔베이트20, 솔비탄아이소스테아레이트, 들깨추출물, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 미리스틱애씨드, 아라키딕애씨드, 검정콩오일, 콜레스테롤, 달맞이꽃오일, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 카놀라오일, 로즈마리잎추출물"
레드이치 케어오일 200ml,일리윤,"카프릴릭/카프릭트라이글리세라이드, 해바라기씨오일, 에틸헥실스테아레이트, 옥틸도데실미리스테이트, 다이카프릴릴카보네이트, 스쿠알란, 데실코코에이트, 호호바씨오일, 불가리스쑥오일, 올리브오일, 달맞이꽃오일, 스위트아몬드오일, 토코페롤, 부틸렌글라이콜, 인삼수, 정제수, 글리세린, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 검정콩오일, 세라마이드엔피, 피토스핑고신, 들깨추출물, 하이드로제네이티드레시틴, 로즈마리잎추출물, 카놀라오일"
세라마이드 아토 여행용 키트,일리윤,"[로션] 정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물 [크림] 정제수, 부틸렌글라이콜, 글리세린, 에틸헥실스테아레이트, 다이메티콘, 다이카프릴릴카보네이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 7622ppm), 폴리아크릴레이트-13, 만니톨, 아라키딜글루코사이드, C12-20알킬글루코사이드, 하이드로제네이티드폴리아이소부텐, 글리세릴카프릴레이트, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 다이메티콘올, 인삼수, 카보머, 솔비탄아이소스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 황금추출물, 프로판다이올, 콜레스테롤, 실리카, 매실추출물, 아라키딕애씨드, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 토코페롤, 세라마이드엔피(4ppm), 올레익애씨드, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물 [워시] 정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤"
프로바이오틱스 스킨 배리어 약산성 여성청결제 300ml,일리윤,"정제수, 글리세린, 솔비톨, 1,2-헥산다이올, 라우릴글루코사이드, 카프릴릴글라이콜, 에틸헥실글리세린, 시트릭애씨드, 덱스트린, 부틸렌글라이콜, 인삼수, 락토바실러스발효용해물(1ppm), 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페롤"
프레쉬 모이스춰 립앤아이 리무버 300ml,일리윤,"정제수, 사이클로펜타실록세인, 코코넛야자오일, 헥실렌글라이콜, 소듐클로라이드, 코코-카프릴레이트/카프레이트, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 1,2-헥산다이올, 포타슘포스페이트, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이, 에틸헥실글리세린, 다이포타슘포스페이트, 부틸렌글라이콜, 유자껍질추출물, 토코페롤"
레드이치 큐어밤 60ml,일리윤,"정제수, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 다이아이소스테아릴말레이트, 시어버터, 비스-하이드록시에톡시프로필다이메티콘, 세테아릴알코올, 아라키딜알코올, 글리세릴스테아레이트, 1,2-헥산다이올, 베헤닐알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 판테놀, 세테아릴올리베이트, 아라키딜글루코사이드, 솔비탄올리베이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 소듐스테아로일글루타메이트, 글리세릴카프릴레이트, 인삼수, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 글리세린, 글루코오스, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 검정콩오일, 하이드록시프로필비스팔미타마이드엠이에이, 콜레스테롤, 달맞이꽃오일, 토코페롤, 스테아릭애씨드, 팔미틱애씨드, 세라마이드엔피, 피토스핑고신, 들깨추출물, 하이드로제네이티드레시틴, 카놀라오일, 미리스틱애씨드, 아라키딕애씨드, 로즈마리잎추출물"
세라마이드 아토 버블워시 앤 샴푸 900ml,일리윤,"정제수, 글리세린, 솔비톨, 카프릴릴/카프릴글루코사이드, 다이프로필렌글라이콜, 프로판다이올, 다이소듐코코암포다이아세테이트, 코코-글루코사이드, 다이소듐코코일글루타메이트, 1,2-헥산다이올, 소듐클로라이드, 시트릭애씨드, 카프릴릴글라이콜, 다이소듐이디티에이, 에틸헥실글리세린, 잔탄검, 세라마이드엔피(10ppm), 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페롤"
레드이치 케어크림 128ml,일리윤,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 판테놀, 하이드록시프로필비스팔미타마이드엠이에이, 아라키딜글루코사이드, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 폴리아이소부텐, 글리세릴카프릴레이트, 인삼수, 올레아놀릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리솔베이트20, 솔비탄아이소스테아레이트, 들깨추출물, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 미리스틱애씨드, 아라키딕애씨드, 검정콩오일, 콜레스테롤, 달맞이꽃오일, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 카놀라오일, 로즈마리잎추출물"
프레쉬 모이스춰 로션 350ml,일리윤,"정제수, 부틸렌글라이콜, 글리세린, 변성알코올, 다이메티콘, 세틸에틸헥사노에이트, 하이드로제네이티드폴리데센, 1,2-헥산다이올, 아라키딜알코올, 베헤닐알코올, 글리세릴스테아레이트시트레이트, 향료, 나이아신아마이드, 카보머, 아라키딜글루코사이드, 트로메타민, 글리세릴카프릴레이트, 리모넨, 인삼수, 다이소듐이디티에이, 에틸헥실글리세린, 리날룰, 치자추출물, 덱스트린, 시트로넬올, 아스코빅애씨드, 헥실신남알, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 카카오추출물, 시트랄, 유자껍질추출물, 토코페롤"
울트라 리페어 인텐시브 케어 크림 200ml,일리윤,"정제수, 부틸렌글라이콜, 글리세린, 세틸에틸헥사노에이트, 다이메티콘, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 세테아릴알코올, 시어버터, 글리세릴스테아레이트시트레이트, 판테놀, 1,2-헥산다이올, 글리세릴스테아레이트, 하이드록시프로필스타치포스페이트, 폴리아크릴레이트-13, 향료, 소듐스테아로일글루타메이트, 폴리아이소부텐, 하이드로제네이티드레시틴, 토코페릴아세테이트, 글리세릴카프릴레이트, 스테아릭애씨드, 인삼수, 팔미틱애씨드, 다이소듐이디티에이, 에틸헥실글리세린, 폴리솔베이트20, 솔비탄아이소스테아레이트, 호호바씨오일, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 마데카소사이드, 미리스틱애씨드, 7-데하이드로콜레스테롤, 글루코노락톤, 라우릭애씨드, 토코페롤"
젠틀 딥 립앤아이 리무버 140ml,일리윤,"정제수, 아이소도데케인, 세틸에틸헥사노에이트, 메틸트라이메티콘, 1,2-헥산다이올, 헥실렌글라이콜, 소듐클로라이드, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 포타슘포스페이트, 카프릴릴/카프릴글루코사이드, 에틸헥실글리세린, 다이포타슘포스페이트, 알지닌, C9-12알케인, 부틸렌글라이콜, 인삼수, 황금추출물, 매실추출물, 코코-카프릴레이트/카프레이트, 토코페롤"
세라마이드 아토 수딩 젤 175ml,일리윤,"정제수, 프로판다이올, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실스테아레이트, 1,2-헥산다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 세테아릴올리베이트, 솔비탄올리베이트, 카보머, 트로메타민, 글리세릴카프릴레이트, 에틸헥실글리세린, 부틸렌글라이콜, 인삼수, 황금추출물, 세라마이드엔피(104ppm), 베타인, 매실추출물, 검정콩오일, 하이드로제네이티드레시틴, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물, 토코페롤"
세라마이드 아토 5.0 젠틀스킨클렌져 400ml,일리윤,"정제수, 글리세린, 라우릴하이드록시설테인, 소듐코코일이세티오네이트, 소듐메틸코코일타우레이트, 카프릴릴/카프릴글루코사이드, 라우릴베타인, 하이드록시프로필스타치포스페이트, 소듐클로라이드, 글리세릴스테아레이트, 하이드레이티드실리카, 트라이하이드록시스테아린, 글라이콜다이스테아레이트, 잔탄검, 세테아릴올리베이트, 솔비탄올리베이트, 라우릭애씨드, 소듐메타포스페이트, 글루코노락톤, 에틸헥실글리세린, 폴리쿼터늄-7, 시트릭애씨드, 부틸렌글라이콜, 인삼수, 황금추출물, 프로판다이올, 매실추출물, 소듐벤조에이트(0.003%), 1,2-헥산다이올, 검정콩오일, 하이드로제네이티드레시틴, 스쿠알란, 마데카소사이드, 폴리 글리세릴-10펜타스테아레이트, 3-O-에틸아스코빅애씨드, 세라마이드엔피(4ppm), 피토스핑고신, 토코페롤, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 하이드롤라이즈드식물성단백질, 카놀라오일, 로즈마리잎추출물"
무기자차 장벽 선크림 SPF50+/PA++++ 50ml,일리윤,"정제수, 징크옥사이드, 사이클로헥사실록세인, 부틸옥틸살리실레이트, 프로필헵틸카프릴레이트, 아이소도데케인, 판테놀, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 카프릴릴메티콘, 나이아신아마이드, 프로판다이올, 다이실록세인, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 트라이에톡시카프릴릴실레인, 폴리메틸실세스퀴옥세인, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 1,2-헥산다이올, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 카프릴릴글라이콜, 글리세릴카프릴레이트, 에틸헥실글리세린, 아데노신, 부틸렌글라이콜, 인삼수, 소듐하이알루로네이트, 황금추출물, 매실추출물, 토코페롤, 세라마이드엔피"
