persona_id,brand,part_role,part_id,brand_tone_cluster,score
persona_7,오설록,emotion,Part 3,2,0.19713646441698077
persona_6,롱테이크,emotion,Part 1,2,0.19702736388891937
persona_3,비레디,identity,Part 1,9,0.19695614445954562
persona_8,롱테이크,emotion,Part 1,2,0.19689263755455613
persona_7,비레디,identity,Part 1,9,0.1964394386857748
persona_6,젠티스트,proof,Part 2,2,0.1960794839113951
persona_1,롱테이크,emotion,Part 1,2,0.19607836881652477
persona_6,라네즈,emotion,Part 1,1,0.19583757583051922
persona_1,라네즈,emotion,Part 1,1,0.1956939650513232
persona_1,오설록,identity,Part 1,2,0.1955896757543087
persona_5,젠티스트,proof,Part 2,2,0.19555616109073162
persona_3,라네즈,emotion,Part 1,1,0.19554938346147538
persona_6,비레디,identity,Part 1,9,0.19546267986297605
persona_7,오설록,identity,Part 2,2,0.19527313560247422
persona_7,오설록,identity,Part 1,2,0.19516990445554255
persona_7,일리윤,identity,Part 1,0,0.1949957996606827
persona_3,오설록,identity,Part 2,2,0.19498597979545595
persona_7,한율,identity,Part 3,9,0.19497273080050948
persona_3,라보에이치,cta,Part 3,0,0.1949196058511734
persona_4,롱테이크,emotion,Part 1,2,0.1947899797745049
persona_3,롱테이크,emotion,Part 1,2,0.19468957426026465
persona_8,젠티스트,proof,Part 2,2,0.1946177071928978
persona_6,오설록,emotion,Part 3,2,0.19458583526313306
persona_4,라네즈,emotion,Part 1,1,0.1945722495019436
persona_2,오설록,emotion,Part 3,2,0.19442798204720022
persona_3,한율,emotion,Part 1,9,0.19442632131278517
persona_2,오설록,identity,Part 1,2,0.19442037045955657
persona_3,젠티스트,proof,Part 2,2,0.19436337789893152
persona_8,오설록,emotion,Part 3,2,0.19411845922470095
persona_7,에스쁘아,identity,Part 3,0,0.1940112978219986
persona_2,라보에이치,cta,Part 3,0,0.19395888514816761
persona_4,오설록,identity,Part 2,2,0.1937962632626295
persona_8,비레디,identity,Part 1,9,0.1937787188217044
persona_6,에스쁘아,identity,Part 3,0,0.19376999996602534
persona_2,오설록,identity,Part 2,2,0.19376182956621052
persona_6,일리윤,identity,Part 1,0,0.19365097265690567
persona_6,라보에이치,cta,Part 3,0,0.1935225271806121
persona_1,한율,identity,Part 3,9,0.1934242805466056
persona_7,타타 하퍼,benefit,Part 1,0,0.19331446330994367
persona_3,한율,identity,Part 3,9,0.19317455887794494
persona_5,롱테이크,emotion,Part 1,2,0.1931664306484163
persona_7,한율,emotion,Part 1,9,0.1931612790375948
persona_4,오설록,emotion,Part 3,2,0.19314745336771014
persona_8,오설록,identity,Part 1,2,0.19312463514506817
persona_5,스킨유,identity,Part 1,1,0.19307452971115707
persona_2,롱테이크,emotion,Part 1,2,0.19307389630004765
persona_1,비레디,identity,Part 1,9,0.1930136077105999
persona_8,에스쁘아,identity,Part 3,0,0.19289065692573787
persona_6,오설록,identity,Part 1,2,0.19286336936056614
persona_2,라네즈,emotion,Part 1,1,0.19286126781255009
persona_3,오설록,identity,Part 1,2,0.1927234999835491
persona_2,비레디,identity,Part 1,9,0.19250929169356823
persona_8,일리윤,identity,Part 1,0,0.1925053563900292
persona_6,오설록,identity,Part 2,2,0.19245658135041593
persona_6,한율,identity,Part 3,9,0.19244941752403977
persona_6,타타 하퍼,benefit,Part 1,0,0.19243982996791603
persona_4,한율,identity,Part 3,9,0.1923551894724369
persona_8,오설록,identity,Part 2,2,0.19196636835113168
persona_4,일리윤,identity,Part 1,0,0.19184064157307146
persona_4,비레디,identity,Part 1,9,0.19153760410845277
persona_4,에스쁘아,identity,Part 3,0,0.19152408335357907
persona_2,한율,identity,Part 3,9,0.19139671251177787
persona_5,라네즈,emotion,Part 1,1,0.19121843602508307
persona_1,라보에이치,cta,Part 3,0,0.191143802292645
persona_1,타타 하퍼,benefit,Part 1,0,0.19097753804177048
persona_3,에스쁘아,identity,Part 3,0,0.1909486923366785
persona_5,비레디,identity,Part 1,9,0.19094073288142682
persona_1,한율,emotion,Part 1,9,0.1908760913461447
persona_6,한율,emotion,Part 1,9,0.19067307457327845
persona_8,한율,identity,Part 3,9,0.1906142096966505
persona_2,타타 하퍼,benefit,Part 1,0,0.1903277904167771
persona_1,에스쁘아,identity,Part 3,0,0.1902928061783314
persona_3,타타 하퍼,benefit,Part 1,0,0.19027180740609767
persona_8,타타 하퍼,benefit,Part 1,0,0.1901092518493533
persona_8,한율,emotion,Part 1,9,0.1900209517031908
persona_4,타타 하퍼,benefit,Part 1,0,0.18992749474942683
persona_7,라보에이치,cta,Part 3,0,0.18990320648998024
persona_2,에스쁘아,identity,Part 3,0,0.18983315359801056
persona_1,AP,identity,Part 2,9,0.18976978920400145
