ingredient_id,ingredient_name
69,4-디아미노페녹시에탄올
70,4-아미노-2-하이드록시톨루엔
71,498 ppb)
72,5-디아민
73,500ppm)
74,540ppm)
75,554 ppm)
76,590ppm)
77,6-나프탈레이트
78,600ppm)
79,609 ppm)
80,6종혼합유산균
81,7-데하이드로콜레스테롤
82,731PPM)
83,762 ppm)*
84,780 ppm)
85,7g 3%
86,800ppm)
87,850.1 ppm)
88,975 ppm)
89,987 ppm)
90,APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산))
91,AP콜라겐효소분해펩타이드
92,B.animalis ssp. lactis BI-04
93,B.animalis ssp. lactis)
94,B.animalis ssp.lactis HN019
95,B.bifidum
96,B.breve
97,B.longum
98,Bi dobacterium animalis ssp. lactis
99,Bi dobacterium longum
100,Bifidobacterium animalis ssp.lactis
101,Bifidobacterium bi dum
102,Bifidobacterium bifidum
103,Bifidobacterium breve
104,C10-18트라이글리세라이즈
105,C11-13아이소알케인
106,C12-14알케스-12
107,C12-14파레스-12
108,C12-15알코올
109,C12-15알킬벤조에이트
110,C12-15알킬에틸헥사노에이트
111,C12-15파레스-3
112,C12-16알코올
113,C12-20알킬글루코사이드
114,C13-14아이소파라핀
115,C13-15알케인
116,C14-22알코올
117,C18-21알케인
118,C20-24알킬다이메티콘
119,C20-24올레핀
120,C30-45알킬다이메틸실릴폴리프로필실세스퀴옥세인
121,C30-45알킬세테아릴다이메티콘크로스폴리머
122,C30-50알코올
123,C9-12알케인
124,D-α-토코페롤
125,D-α-토코페롤 캡슐기제 젤라틴
126,D-비오틴
127,D-소르비톨액
128,D-소비톨
129,D-소비톨(감미료)
130,D-토코페롤
131,D-토코페롤)(노르웨이산)
132,DL-사과산
133,DL-트레오닌)
134,L-글루탐산발효 가바분말(국내산)
135,L-라이신염산 염
136,L-로이신
137,L-메티오닌
138,L-멘톨
139,L-발린
140,L-시스테인염산염
141,L-시스틴
142,L-아르기닌
143,L-아르지닌
144,L-아스코르빈산나트륨
145,L-아스코브산나트륨
146,L-이소로이신
147,L-카르니틴)
148,L-트레오닌
149,L-트립토판)
150,L-히스티딘
151,L.acidophilus La14
152,L.paracasei Lpc-37
153,L.plantarum APsulloc331261
154,L.plantarum Lp 115
155,L.plantarumAPsulloc331261발효액(사균체)
156,L.rhamnosus GG
157,L.rhamnosus HN001)
158,Lacticaseibacillus casei
159,Lacticaseibacillus rhamnosus
160,Lactiplantibacillus plantarum APSulloc 331261
161,Lactiplantibacillus plantarum APsulloc331261 발효액(사균체)
162,Lactobacillus acidophilus)
163,Lactobacillus gasseri)
164,Lactobacillus helveticus
165,Lactococcus lactis
166,L아르기닌
167,M-아미노페놀
168,MCT 오일
169,N
170,N-비스(2-히드록시에틸)-p-페닐렌디아민설페이트
171,N-아세틸글루코사민(홍게(국산))
172,P-아미노페놀
173,P-페닐렌디아민
174,T-부틸알코올
175,VB6종복합코팅유산균(L.rhamnosus
176,[00P1] 정제수
177,[01 Bright] 티타늄디옥사이드 (CI 77891)
178,[01 화사 생기] [공통-보습] 스쿠알란
179,[04 댄싱 데이지] 정제수
180,[13N1] 정제수
181,[1] 탤크
182,[1제 액티베이터] 정제수
183,[1제 크림] 정제수
184,[1호] 마이카
185,[21N1] 정제수
186,[23N1] 정제수
187,[Minnie] 탤크
188,[Pencil] 마이카
189,[Step1. 히알루로닉 볼륨 부스터] 정제수
190,[champagne beam-7mm] C12-15알킬에틸헥사노에이트
191,[공통-보습] 스쿠알란
192,[그린티딸기랑드샤] 총 내용량 90g(515kcal)
193,[레드이치 케어크림] 정제수
194,[로션] 정제수
195,[루트젠 여성 맞춤 탈모증상전문케어 샴푸] 정제수
196,[루트젠 여성 맞춤 탈모증상전문케어 샴푸]정제수
197,[루트젠 여성 탈모전문케어 샴푸] 정제수
198,[리제덤365 모공탄력 캡슐세럼] 정제수
199,[리퀴드솝] 정제수
200,[마이] 마이카
201,[맨바이오에센스] 효모발효여과물
202,[무광 하이라이터 Natural Ivory] 탤크
203,[보습] 스쿠알란
204,[본윤에센스] 정제수
205,[블랙티앤피그 소프트닝 바디워시] 정제수
206,[블랙티앤피그 소프트닝 샴푸] 정제수
207,[뽀오얀 클렌징 오일] C12-15알킬벤조에이트
208,[샌달우드 인텐시브 바디워시] 정제수
209,[샌달우드 인텐시브 샴푸] 정제수
210,[샌달우드] 사이클로펜타실록세인
211,[세럼] 편백수
212,[세럼]정제수
213,[소프너] 정제수
214,[순백의 베이지] 탤크
215,[스킨 리파이너] 정제수
216,[스킨 소프너] 정제수
217,[스킨] 정제수
218,[스킨] 정제수*
219,[스킨]정제수
220,[스텝1] 정제수
221,[아이 캐치] 칼슘티타늄보로실리케이트
222,[아이 컨택] 마이카
223,[애교살라이너] 사이클로펜타실록세인
224,[앰플] 정제수
225,[에센스] 정제수
226,[에센스워터] 정제수
227,[울트라 너리싱 어드밴스드 토너] 정제수
228,[워터] 정제수
229,[유효성분] 과산화수소수(35%)
230,[유효성분] 녹차추출액
231,[유효성분] 덴탈타입실리카
232,[유효성분] 일불소인산나트륨
233,[유효성분]녹차추출액
234,[윤조에센스] 정제수
235,[자음생수] 정제수
236,[자음수] 정제수
237,[전성분] 정제수
238,[제로퍼센트 저자극 버블핸드워시] 정제수
239,[젤리] 마이카
240,[좌] 탤크
241,[진설수] 정제수
242,[컬픽스 마스카라 1호 블랙] 아이소도데케인
243,[컬픽스 마스카라(블랙)] 아이소도데케인
244,[크림] 정제수
245,[토너] 정제수
246,[토너]정제수
247,[톤앤톤] 탤크
248,[파운데이션] 17C 쿨 포슬린 / 녹차수
249,[파운데이션] 21N 퓨어 아이보리 / 녹차수
250,[파운데이션] 22N 페탈 베이지 / 녹차수
251,[퍼밍 파우더] 알부민
252,[펜슬] 하이드로제네이티드돌콩오일
